City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,São Miguel do Araguaia,-13.275,-50.1628,25.86,77,100,1.77,BR,1675722486
130,Lebu,-37.6167,-73.65,16.3,75,0,8.75,CL,1675722487
131,Kaitangata,-46.2817,169.8464,20.82,45,11,4.74,NZ,1675722487
132,Mingguang,32.7802,117.9638,7.28,94,100,2.4,CN,1675722487
133,Bairiki Village,1.3292,172.9752,30.0,70,75,6.17,KI,1675722488
134,Chui,-33.6971,-53.4616,23.34,66,100,3.87,UY,1675722488
135,Kiryat Gat,31.61,34.7642,12.38,100,89,11.91,IL,1675722488
136,Flinders,-34.5833,150.8552,21.88,89,89,1.0,AU,1675722489
137,Pandharpur,17.6667,75.3333,22.43,30,56,4.46,IN,1675722489
138,Sabla,12.7525,4.7077,27.38,16,100,5.14,NG,1675722489
139,Samarai,-10.6167,150.6667,25.7,87,100,4.3,PG,1675722490
140,Bredasdorp,-34.5322,20.0403,21.26,89,80,1.89,ZA,1675722490
141,Kupang,-10.1667,123.5833,24.32,94,40,1.54,ID,1675722490
142,Shingū,33.7333,135.9833,7.76,61,90,3.02,JP,1675722491
143,Kampot,10.6167,104.1833,23.03,86,74,1.22,KH,1675722491
144,Aklavik,68.2191,-135.0107,-34.0,68,40,1.54,CA,1675722491
145,Tankhoy,51.5528,105.1306,-12.2,87,58,2.26,RU,1675722491
146,Lagoa,39.05,-27.9833,13.05,72,100,12.0,PT,1675722492
147,Tura,25.5198,90.2201,13.8,53,0,1.41,IN,1675722492
148,Husavik,66.0449,-17.3389,-0.46,63,75,9.01,IS,1675722492
149,Chiang Mai,18.75,99.0,17.41,77,0,0.0,TH,1675722493
150,Tasiilaq,65.6145,-37.6368,-10.91,90,99,2.6,GL,1675722205
151,Salalah,17.0151,54.0924,22.05,60,0,1.03,OM,1675722208
152,Forsytheganj,52.6333,29.7333,-3.42,97,100,2.88,BY,1675722493
153,Wyndham,37.6985,-77.6125,10.95,51,0,3.6,US,1675722494
154,Isangel,-19.55,169.2667,30.06,79,75,1.03,VU,1675722494
155,Montepuez,-13.1256,38.9997,20.74,96,100,3.58,MZ,1675722494
156,Gizo Government Station,-8.103,156.8419,27.55,79,99,5.69,SB,1675722495
157,Hofn,64.2539,-15.2082,2.71,70,51,14.3,IS,1675722435
158,Touros,-5.1989,-35.4608,26.4,80,6,5.8,BR,1675722198
159,Vila Franca do Campo,37.7167,-25.4333,13.23,96,100,4.32,PT,1675722495
160,Paraíso,9.8383,-83.8656,23.48,82,45,2.98,CR,1675722495
161,Nemuro,43.3236,145.575,-4.3,91,100,5.1,JP,1675722496
162,Washougal,45.5826,-122.3534,10.64,81,100,4.63,US,1675722496
163,Mahébourg,-20.4081,57.7,25.16,88,75,3.09,MU,1675722496
164,Marzuq,14.4,46.4667,17.09,39,37,2.24,YE,1675722497
165,Ygatimi,-24.0833,-55.5,27.5,57,100,1.6,PY,1675722497
166,Pandan,14.0453,124.1694,24.52,90,87,3.82,PH,1675722497
167,North Bend,43.4065,-124.2243,12.91,81,100,3.09,US,1675722498
168,San Patricio,28.017,-97.5169,26.05,59,12,9.28,US,1675722498
169,Münsingen,48.4113,9.497,-0.93,92,99,4.69,DE,1675722498
170,Neuquén,-38.9516,-68.0591,32.94,24,0,1.03,AR,1675722499
171,Bosanska Kostajnica,45.2159,16.5444,-3.81,71,53,1.08,HR,1675722499
172,San Vicente,-26.6167,-54.1333,25.42,41,62,0.61,AR,1675722499
173,Genhe,50.7833,121.5167,-33.82,100,93,0.28,CN,1675722499
174,Jining,35.405,116.5814,3.96,89,66,1.67,CN,1675722500
175,Madimba,-10.4,40.3333,26.4,81,99,3.97,TZ,1675722500
176,Acapulco de Juárez,16.8634,-99.8901,28.9,65,0,3.6,MX,1675722245
177,Tyshkivka,48.4967,30.9423,-5.49,85,34,5.79,UA,1675722500
178,Keti Bandar,24.1447,67.4497,21.1,75,1,3.88,PK,1675722501
179,Paidha,2.4167,30.9855,19.41,39,10,2.04,UG,1675722501
180,Guisa,20.255,-76.5386,28.48,44,71,4.93,CU,1675722502
181,São Gabriel da Cachoeira,-0.1303,-67.0892,25.27,93,94,0.38,BR,1675722503
182,Ciudad del Carmen,18.6333,-91.8333,25.02,78,40,2.06,MX,1675722503
183,Talnakh,69.4865,88.3972,-23.22,99,100,2.35,RU,1675722503
184,Sandpoint,48.2766,-116.5533,4.29,90,100,2.57,US,1675722277
185,Palauig,15.435,119.9045,25.09,77,44,1.48,PH,1675722504
186,Torbay,47.6666,-52.7314,3.1,96,100,3.6,CA,1675722504
187,Krasnosel'kup,65.7,82.4667,-19.16,98,100,2.17,RU,1675722504
188,Avera,33.194,-82.5271,19.19,45,0,0.79,US,1675722505
189,Hithadhoo,-0.6,73.0833,27.32,71,72,5.49,MV,1675722505
190,Camapuã,-19.5314,-54.0439,24.71,83,48,0.7,BR,1675722505
191,Bendigo,-36.7667,144.2833,17.02,68,0,3.58,AU,1675722506
192,Hong Kong,22.2855,114.1577,20.53,90,99,2.68,HK,1675722272
193,Yalutorovsk,56.6536,66.3006,-18.41,100,98,1.53,RU,1675722506
194,Kapaa,22.0752,-159.319,27.18,78,40,6.17,US,1675722506
195,City of San Pedro,14.35,121.0167,24.64,88,40,0.0,PH,1675722507
196,Bethel,41.3712,-73.414,6.63,66,100,6.17,US,1675722507
197,Mahibadhoo,3.7833,72.9667,26.9,76,100,3.74,MV,1675722507
198,Mbalmayo,3.5167,11.5,23.18,95,50,1.82,CM,1675722508
199,Along,28.1667,94.7667,14.59,66,100,0.99,IN,1675722508
200,Aripuanã,-9.1667,-60.6333,25.41,82,53,1.67,BR,1675722508
201,Province of Groningen,53.25,6.75,1.72,92,1,1.54,NL,1675722222
202,Nyurba,63.2842,118.3319,-42.41,100,93,0.61,RU,1675722509
203,Sarāhan,31.5167,77.8,-0.84,46,4,4.44,IN,1675722509
204,Whitehorse,60.7161,-135.0538,1.12,52,40,7.2,CA,1675722253
205,Arrondissement d'Ajaccio,42.0,8.9167,3.99,45,100,2.06,FR,1675722509
